UserID,Product,Quantity,Date,Category,Price,Palabra_Clave,Supermercado,ProductID,ClaveID
1191,Agua Micelar Hydro Boost Neutrogena X 200 Cc.,1,2023-12-27,Perfumeria,$3050,Agua,Carrefour,18,18
1878,Cuaderno 16 X 21 Tapa Forrada 42 Hojas Rayada Ledesma Nat X 1 Un.,3,2023-02-26,Hogar,$3999,Cuaderno,La Anónima,19,19
1819,Lana De Acero Virulana Rollitos X 6 Un.,2,2023-04-27,Limpieza,$2250,Lana,La Anónima,20,20
1120,Acondicionador Kera-Liso Brillo Elvive X 200 Cc.,3,2023-11-07,Perfumeria,$7100,Acondicionador,La Anónima,21,10
1873,Galletitas Habanitos Terrabusi Bañadas Con Chocolate X 60 G.,3,2023-07-19,Almacen,$480,Galletitas,Carrefour,22,21
1294,Confites Lentejas Chocolate Rocklets X 20 G.,1,2023-05-21,Almacen,$2200,Confites,Jumbo,23,22
1245,Cepillo De Dientes Colgate Slim Soft Black X 2 Un.,3,2023-05-08,Perfumeria,$30,Cepillo,La Anónima,24,23
1688,Carpeta Opaca Con Sujetador Oficio Data Bank X 1 Un.,3,2023-03-17,Hogar,$23170,Carpeta,Jumbo,25,24
1734,Mani Tostado Sin Sal Krach-Itos X 110 G.,3,2023-05-07,Almacen,$8975,Mani,La Anónima,26,25
1394,Aceite Oliva Extra Virgen Andino Vidrio Natura Oliva X 500 Cc.,2,2023-07-13,Almacen,$2320,Aceite,Carrefour,27,26
1312,Limpiador Concentrado Multimax Pino X 150 Cc.,3,2023-10-23,Limpieza,$1100,Limpiador,Carrefour,28,27
1297,Almendrado La Anónima X 675 Gr.,1,2023-05-16,Congelados,$2650,Almendrado,Carrefour,29,28
1251,Harina Leudante Blancaflor X 1 Kg.,1,2023-04-07,Almacen,$1250,Harina,Carrefour,30,29
1716,Coloración Miel De Néctar T 83 Nutrisse X 1 Un.,3,2023-04-22,Perfumeria,$3152,Coloración,Jumbo,31,6
1572,Salsa Ranch Con Semillas Dos Anclas X 340 G.,2,2023-01-18,Almacen,$4800,Salsa,Carrefour,32,30
1739,Bizcochos Azucarados 9 De Oro X 210 G.,3,2023-01-08,Almacen,$1884,Bizcochos,La Anónima,33,31
1460,Medallón Veggies Lentejas Y Zanahorias X 2 Un. Green Life X 190 G.,3,2023-11-08,Congelados,$1997,Medallón,La Anónima,34,32
1848,Crema Exfoliante Neutrogena Deep Clean Energizante X 100 G.,1,2023-12-13,Perfumeria,$980,Crema,La Anónima,35,11
1832,Zanahoria Rallada Rie La Huerta X 250 G.,1,2023-08-23,Frutas-Y-Verduras,$2490,Zanahoria,Carrefour,36,33
1821,Comino Molido La Parmesana X 15 G.,3,2023-10-21,Almacen,$1900,Comino,La Anónima,37,34
1132,Galletitas Chocolate Bañadas En Chocolate Oreo X 17 G.,1,2023-01-16,Almacen,$560,Galletitas,La Anónima,38,21
1824,Detergente Liquido Bioactive Limon Cif X 300 Cc.,3,2023-07-24,Limpieza,$6600,Detergente,Carrefour,39,35
1602,Lápices Bicolor La Anónima X 6 Un.,2,2023-04-18,Hogar,$10915,Lápices,Carrefour,40,36
1917,Tomate Perita Entero La Anónima X 400 G.,3,2023-07-28,Almacen,$1199,Tomate,Carrefour,41,37
1764,Caldo De Verduras Knorr X 48 G.,3,2023-11-19,Almacen,$1300,Caldo,Carrefour,42,2
1545,Pimienta Molida Blanca Alicante X 25 G.,3,2023-10-28,Almacen,$1146,Pimienta,Jumbo,43,38
1695,Nuggets De Pollo Crocante Pampa Food X 500 G.,3,2023-03-05,Congelados,$3575,Nuggets,Jumbo,44,39
1621,Galletitas Crackers La Providencia X 3 Un.,1,2023-07-17,Almacen,$2600,Galletitas,Jumbo,45,21
1695,Café En Saquitos La Planta De Café X 18 Un.,3,2023-06-23,Almacen,$1150,Café,La Anónima,46,40
1442,Gel Crema Facial Bright Boost Neutrogena X 50 Cc.,3,2023-02-13,Perfumeria,$1700,Gel,La Anónima,47,41
1910,Vino Espumante Extra Brut Bianchi X 750 Cc.,2,2023-10-27,Bebidas,$20,Vino,Jumbo,48,16
1713,Alfajor De Arroz Dulce De Leche Chocoarroz 6 Un X 132 G.,2,2023-05-27,Almacen,$3550,Alfajor,Carrefour,49,42
1932,Shampoo Herbolaria Milenaria Tío Nacho X 415 Cc.,1,2023-09-03,Perfumeria,$2650,Shampoo,La Anónima,50,43
1503,Chocolate Con Maní Nestlé X 33G.,1,2023-03-12,Almacen,$1015,Chocolate,La Anónima,51,44
1743,Yogur Entero Con Frutas Ananá Tregar X 160 G.,3,2023-01-21,Frescos,$900,Yogur,Jumbo,52,45
1102,Filtro De Cafe Tela Loekemeyer Hnos X 1 Un.,3,2023-05-20,Hogar,$3650,Filtro,Jumbo,53,46
1534,"Pinza Media Caã±A Pro 8"" Largo 203 Mm. Stanley X 1 Un.",1,2023-03-22,Hogar,$17189,Pinza,La Anónima,54,47
1554,Puré De Tomate Brick Arcor X 530 G.,2,2023-07-16,Almacen,$819,Puré,Jumbo,55,48
1987,Perfume Infantil Corona Cenicienta Disney Princesa X 50 Cc.,3,2023-02-11,Perfumeria,$6079,Perfume,La Anónima,56,49
1945,Mermelada De Ciruela La Campagnola X 454 G.,1,2023-11-01,Almacen,$7595,Mermelada,Carrefour,57,50
1961,Crema Corporal St. Ives Avena Y Karité X 350 Ml.,3,2023-07-27,Perfumeria,$8600,Crema,Jumbo,58,11
1733,Polvo Pedico Efficient Original Rexona X 200 G.,1,2023-12-06,Perfumeria,$1735,Polvo,Carrefour,59,51
1419,Yogur Bebible Frutilla  Sachet La Serenísima Clásico X 900 G. Pack Ahorro 200 G. +,2,2023-12-11,Frescos,$1950,Yogur,La Anónima,60,45
1012,Leche La Serenisima Zerolact Bot 1L,2,2023-01-26,Lacteos,$1842,Leche,La Anónima,61,52
1775,Fideos Al Huevo Nidos 2 308 X 500 G.,2,2023-06-23,Almacen,$2489,Fideos,La Anónima,62,53
1345,Croquetas De Espinaca Pampa Food X 500 G.,2,2023-11-05,Congelados,$2500,Croquetas,Jumbo,63,54
1544,Gel Limpieza Piel Mixta/ Grasa Dermaglos X 150 G.,3,2023-09-27,Perfumeria,$9700,Gel,Carrefour,64,41
1626,Solomillo Congelado Delipork (Kg),2,2023-08-03,Carniceria,$8680,Solomillo,Carrefour,65,55
1385,Limpiador Cremoso Bioactive Original Cif X 500 Cc.,1,2023-06-28,Limpieza,$3550,Limpiador,Carrefour,66,27
1359,Sopa De Pollo Con Fideos Cabello De Angel Knorr X 105 G.,1,2023-10-28,Almacen,$2485,Sopa,Carrefour,67,56
1502,Antitranspirante Crema Clinical Rexona X 48 G.,1,2023-10-11,Perfumeria,$8350,Antitranspirante,Carrefour,68,57
1780,Aperitivo Hibiscus Spritz Lata Gancia X 473 Cc.,3,2023-12-13,Bebidas,$1119,Aperitivo,Carrefour,69,15
1174,Crema Humectante Ponds Rejuveness Noche X 100 Gr.,2,2023-09-15,Perfumeria,$7950,Crema,Carrefour,70,11
1697,Queso De Cerdo Feteado 42 X 200 G.,2,2023-12-04,Frescos,$1800,Queso,Jumbo,71,58
1196,Manteca Light La Serenísima X 200 G.,3,2023-09-09,Frescos,$1500,Manteca,Jumbo,72,59
1459,Aceite De Oliva Extra Virgen Lata Oliovita X 500 Cc.,1,2023-08-08,Almacen,$2015,Aceite,Jumbo,73,26
1172,Harina Leudante Sin Sodio Pureza X 1 Kg.,1,2023-10-25,Almacen,$714,Harina,Carrefour,74,29
1961,Shampoo Fructis Hydraliss 350Cc,3,2023-08-19,Perfumeria,$7250,Shampoo,Jumbo,75,43
1325,Queso Sardo Santa Rosa X 1 Kg.,3,2023-06-09,Frescos,$18750,Queso,La Anónima,76,58
1793,Copa Windsor Champagne 190 Cc. Nadir X 1 Un.,3,2023-05-17,Hogar,$2590,Copa,La Anónima,77,60
1099,Papas Fritas Clásicas Pehuamar X 230 G.,3,2023-04-05,Almacen,$805,Papas,Carrefour,78,61
1649,Separador Para Freezer 19 X 25 Cm. Separata X 100 Un.,3,2023-01-09,Hogar,$996,Separador,Carrefour,79,62
1467,Copa Sundae De Vidrio Alaska Crisa X 1 Un.,2,2023-12-17,Hogar,$5050,Copa,Carrefour,80,60
1683,Suavizante Concentrado Fiber Protect Botella Comfort X 500 Cc.,3,2023-02-17,Limpieza,$1995,Suavizante,La Anónima,81,63
1080,Cereal De Frutas En Bolsa Froot Loops X 330 G.,3,2023-02-21,Almacen,$3200,Cereal,Carrefour,82,64
1110,Vinagre De Manzana Menoyo X 500 Cc.,1,2023-12-26,Almacen,$2560,Vinagre,Jumbo,83,65
1132,Canasta Inodoro Poder 4 En 1 Citrus Vim X 35 G.,2,2023-11-26,Limpieza,$1430,Canasta,Jumbo,84,66
1545,Galletitas Crackers Club Social Jamón X 6 Un. 141 G.,3,2023-12-06,Almacen,$880,Galletitas,La Anónima,85,21
1736,Salchichas Viena X 6 Un. Pasteurizada8 Paladini X 225 G.,2,2023-02-22,Frescos,$975,Salchichas,La Anónima,86,67
1456,Té En Saquitos Surtido Frutal Saint Gottard X 20 Un.,2,2023-05-12,Almacen,$1575,Té,Jumbo,87,68
1643,Tapa Para Empanadas Criollas Delicias Dorada X 12 Un. X 330 G.,1,2023-01-25,Frescos,$2300,Tapa,Jumbo,88,69
1837,Bebida De Soja Ades Durazno Multi10 X 1 Lt.,2,2023-06-23,Bebidas,$3550,Bebida,Jumbo,89,70
1934,Jamón Genuino Cagnoli X 120 G.,3,2023-12-20,Frescos,$2600,Jamón,La Anónima,90,71
1675,Bombilla Atomizada Colores Marwal X 1 Un.,2,2023-06-10,Hogar,$2100,Bombilla,La Anónima,91,72
1894,Cerveza Música Pack X 6 Un. Brahma X 473 Cc.,3,2023-04-16,Bebidas,$1137,Cerveza,Carrefour,92,4
1823,Pan Rallado Morixe X 500 G.,3,2023-10-25,Almacen,$1950,Pan,Carrefour,93,73
1073,Quitamanchas Polvo Vanish Oxi-Gel Ropa Blanca Doy Pack X 120 G.,3,2023-02-21,Limpieza,$2200,Quitamanchas,Jumbo,94,74
1095,Mopa 100% Microfibra Vileda X 1 Un.,2,2023-04-15,Limpieza,$8450,Mopa,Jumbo,95,75
1032,Aderezo A Base De Aceite Ahumada Hellmanns X 250 G.,1,2023-05-11,Almacen,$1432,Aderezo,Jumbo,96,76
1345,Postre Americana Ddl La Anónima X 575 Gr.,1,2023-02-24,Congelados,$17650,Postre,Jumbo,97,77
1416,Harina Premezcla Para Ñoquis Papa Mama Cocina X 500 G.,3,2023-09-17,Almacen,$20,Harina,Carrefour,98,29
1311,Acondicionador Oil Repair 3 Recarga Nutririva Fructis X 350 Cc.,2,2023-01-18,Perfumeria,$5750,Acondicionador,Jumbo,99,10
1940,Chocolate Con Leche Con Maní Cofler Block X 300 G.,3,2023-11-06,Almacen,$610,Chocolate,Jumbo,100,44
1368,Aromatizante Ambiente Repuesto Campos De Lavanda Toque Glade X 9 Cc.,2,2023-02-22,Limpieza,$5900,Aromatizante,La Anónima,101,78
1706,Cafe En Capsulas Cortado La Virginia X 10 Un.,1,2023-05-04,Almacen,$550,Cafe,Carrefour,102,79
1013,Lápices Grafito Graduados La Anónima X 4 Un.,3,2023-09-17,Hogar,$5800,Lápices,Carrefour,103,36
1519,Pastillas De Goma Eucalipto Billiken X 800 G.,3,2023-11-15,Almacen,$7200,Pastillas,Jumbo,104,80
1340,Fijador Aerosol Fuerte Roby X 180 Cc.,1,2023-03-13,Perfumeria,$9100,Fijador,Carrefour,105,81
1428,Desodorante Pédico Aerosol Foot Defens Curitas X 150 Cc.,1,2023-05-01,Perfumeria,$980,Desodorante,Carrefour,106,82
1059,Cereal De Avena Relleno Granix Frutilla Bolsa X 180 G.,1,2023-03-08,Almacen,$2319,Cereal,Carrefour,107,64
1511,Vermouth Rosso Carpano X 950 Cc.,1,2023-03-23,Bebidas,$3210,Vermouth,La Anónima,108,83
1008,Vino Tinto Los Árboles Selección Malbec X 750 Cc.,2,2023-03-26,Vinos-Finos,$3800,Vino,Jumbo,109,16
1819,Aromatizante Para Auto Glade Citrus Gel X 70 G.,3,2023-01-14,Limpieza,$2850,Aromatizante,La Anónima,110,78
1266,Lentejas Secas Best X 400 G.,3,2023-08-06,Almacen,$2250,Lentejas,Jumbo,111,84
1608,Desodorante Para Inodoro Canasta Poett Lavanda X 27 G.,3,2023-12-20,Limpieza,$4015,Desodorante,Jumbo,112,82
1272,Aceite De Girasol Cañuelas X 900 Cc.,1,2023-12-06,Almacen,$1249,Aceite,Carrefour,113,26
1581,Lavandina Pureza De Glaciar Triple Poder Ayudín X 2 Lt.,3,2023-07-04,Limpieza,$1308,Lavandina,Carrefour,114,85
1572,Cafe En Capsulas Espresso La Virginia X 10 Un.,2,2023-12-18,Almacen,$1500,Cafe,La Anónima,115,79
1387,Granola Con Arándanos Y Almendras Sin Tacc Maizena X 150 G.,3,2023-01-09,Almacen,$2385,Granola,Carrefour,116,86
1584,Esponja De Bronce Best X 1 Un.,3,2023-11-26,Limpieza,$4725,Esponja,Jumbo,117,87
1349,Milanesas De Soja Tipo Caseras X 4 Un. Granja Del Sol X 330 G.,2,2023-03-12,Congelados,$2100,Milanesas,Jumbo,118,88
1807,Pan Para Pancho Lacteado X 6 Un. Bimbo X 210 G.,2,2023-03-20,Frescos,$1650,Pan,Jumbo,119,73
1135,Yogur Descremado Bebible Frutilla Sachet Tregar X 900 G.,3,2023-10-23,Frescos,$1100,Yogur,Carrefour,120,45
1653,Antitranspirante Aerosol Woman Estefanía Banini Rexona X 150 Cc.,1,2023-12-10,Perfumeria,$3900,Antitranspirante,Jumbo,121,57
1423,Antitranspirante Aerosol Deep Carbã³N Activo Beat Nivea For Men X 150 Cc.,2,2023-12-03,Perfumeria,$3200,Antitranspirante,La Anónima,122,57
1238,Azúcar Común A Sic X 1 Kg.,3,2023-02-17,Almacen,$869,Azúcar,Jumbo,123,89
1107,Pechugas De Pollo La Anónima (Kg),2,2023-05-27,Carniceria,$9764,Pechugas,Jumbo,124,90
1311,Endulzante En Tabletas Stevia Equalsweet X 100 Un.,3,2023-11-10,Almacen,$5300,Endulzante,Jumbo,125,91
1663,Bombón Escoces X 6 Un. La Anónima X 552 Gr.,3,2023-09-16,Congelados,$9300,Bombón,Jumbo,126,92
1313,Pomada Líquida Con Aplicador Cobra Negro X 60 Cc.,2,2023-08-25,Limpieza,$2200,Pomada,Carrefour,127,93
1676,Pizza De Mozzarella Sin Tacc Keila X 310 G.,3,2023-03-27,Almacen,$1476,Pizza,Jumbo,128,94
1104,Provenzal 51 X 25 G.,2,2023-08-21,Almacen,$21050,Provenzal,Carrefour,129,95
1170,Caramelos Leche Rellenos Con Chocolate Butter Toffees X 140 G.,1,2023-02-20,Almacen,$3945,Caramelos,Carrefour,130,96
1755,Desodorante Pedico Aerosol Original Rexona X 153 Cc.,1,2023-07-16,Perfumeria,$2535,Desodorante,Jumbo,131,82
1693,Aromatizante Para Auto Repuesto Glade Sensations Acqua X 7 Cc.,1,2023-02-28,Limpieza,$4550,Aromatizante,Jumbo,132,78
1700,Espinaca Baby Hojas Verdes Y Rojas Rie La Huerta X 150 G.,1,2023-11-07,Frutas-Y-Verduras,$2490,Espinaca,Carrefour,133,97
1936,Rejilla Multiuso 34X42 Cm Banderita X 1 Un.,3,2023-09-15,Limpieza,$2905,Rejilla,La Anónima,134,98
1343,Dulce De Leche Colonial La Serenísima X 250 G.,2,2023-03-21,Frescos,$2680,Dulce,La Anónima,135,99
1796,Bastones De Mozzarella Pampa Food X 500 G.,2,2023-10-27,Congelados,$16700,Bastones,La Anónima,136,100
1220,Carpeta Pastel Gold Inkdrop,1,2023-07-07,Hogar,$9765,Carpeta,Jumbo,137,24
1383,Papas Fritas Clásicas Nikitos X 120 G.,1,2023-10-28,Almacen,$1350,Papas,La Anónima,138,61
1481,Trapo De Piso Nido De Abeja 60X70 Banderita X 1 Un.,3,2023-09-16,Limpieza,$5705,Trapo,La Anónima,139,101
1238,Ají Triturado La Campagnola X 23 G.,3,2023-12-06,Almacen,$2069,Ají,Jumbo,140,102
1281,Adhesivo En Barra La Anónima X 1 Un.,1,2023-09-18,Hogar,$6895,Adhesivo,Jumbo,141,103
1295,Bondiola Congelada Delipork (Kg),3,2023-09-05,Carniceria,$8790,Bondiola,Carrefour,142,104
1680,Fideos Mostacholes N51 Lucchetti Rayado 500 G.,2,2023-05-10,Almacen,$885,Fideos,La Anónima,143,53
1182,Shampoo Ritual De Reparacion Dove X 200 Cc.,2,2023-02-17,Perfumeria,$3200,Shampoo,La Anónima,144,43
1760,Coloración Rubio Profundo Ultra Brillo Extremo T 6.62 Issue X 1 Un.,1,2023-07-25,Perfumeria,$2925,Coloración,La Anónima,145,6
1474,Galletitas Crackers La Providencia X 5 Un. 505 G.,3,2023-02-05,Almacen,$800,Galletitas,La Anónima,146,21
1162,Vino Blanco Chardonnay Fair For Life Finca Las Moras X 750 Cc.,1,2023-09-26,Bebidas,$2350,Vino,La Anónima,147,16
1955,Lechuga Capuchina (Kg),3,2023-02-18,Frutas-Y-Verduras,$2290,Lechuga,Jumbo,148,105
1240,Jugo Concentrado De Limón Minerva X 500 Cc.,1,2023-03-06,Almacen,$1840,Jugo,Jumbo,149,106
1818,Fideos Al Huevo Spaghetti Don Felipe X 500 G.,2,2023-10-20,Almacen,$3750,Fideos,Jumbo,150,53
1059,Antitranspirante Aerosol Black Axe X 152 Cc.,1,2023-01-21,Perfumeria,$5400,Antitranspirante,Jumbo,151,57
1292,Espinaca Congelada Lucchetti X 800 G.,1,2023-08-25,Congelados,$2650,Espinaca,La Anónima,152,97
1464,Capellettis Lucchettinis Espinaca-Queso Lucchetti X 500 G.,1,2023-02-10,Almacen,$1720,Capellettis,La Anónima,8,8
1175,Vino Tinto Álamos Malbec Selección X 750 Cc.,3,2023-09-13,Bebidas,$4150,Vino,Carrefour,153,16
1855,Galletitas Dulces Chocolatina Trio X 300 G.,3,2023-01-18,Almacen,$535,Galletitas,Carrefour,154,21
1001,Leche Lv. Reducida En Lactosada Ilolay X 1 Lt.,3,2023-03-12,Frescos,$2200,Leche,La Anónima,155,52
1508,Abrillantador Maquina Lavavajilla Triple Acción Sun X 500 Cc.,3,2023-08-24,Limpieza,$2100,Abrillantador,La Anónima,156,107
1912,Limpiador Liquido Multisuperficies Gatillo Lysoform X 500 Cc.,3,2023-03-05,Limpieza,$40,Limpiador,La Anónima,157,27
1512,Galletas De Arroz Dulces Criollitas X 110 G.,1,2023-12-01,Almacen,$1729,Galletas,Jumbo,158,108
1114,Baño De Repostería Semiamargo Aguila X 150 G.,1,2023-09-06,Almacen,$1050,Baño,La Anónima,159,109
1568,Vinagre De Alcohol Menoyo X 1 Lt.,1,2023-06-12,Almacen,$880,Vinagre,La Anónima,160,65
1812,Filtro De Cafe N.4 Domestic X 100 Un.,2,2023-09-16,Hogar,$2300,Filtro,Carrefour,161,46
1668,Copa Normandía 318 Cc. Crisa X 1 Un.,2,2023-03-23,Hogar,$7909,Copa,Jumbo,162,60
1074,Manteca Ls Bienestar Animal 200 G,1,2023-11-08,Lacteos,$2681,Manteca,Carrefour,163,59
1203,Solomillo Congelado Delipork (Kg),2,2023-10-13,Carniceria,$8680,Solomillo,La Anónima,65,55
1335,Desodorante Para Auto Superpino Arg Air Perfum X 1 Un.,2,2023-02-19,Hogar,$10100,Desodorante,La Anónima,164,82
1481,Caramelos Ácidos Menthoplus Naranja X 27 G.,3,2023-09-16,Almacen,$730,Caramelos,La Anónima,165,96
1759,Acondicionador Esencia Control Frizz Aminomax Plusbelle X 970 Cc.,3,2023-02-02,Perfumeria,$5500,Acondicionador,Carrefour,166,10
1514,Fideos Listos S/Camarón Lunch Maruchan X 64 G.,1,2023-06-05,Almacen,$670,Fideos,Carrefour,167,53
1772,Manteca Clarificada Ghee Cows Pure X 150 G.,1,2023-02-08,Almacen,$1450,Manteca,Carrefour,168,59
1784,Copos De Arroz Choco Krispis Choco Krispis X 265 G.,2,2023-01-09,Almacen,$1349,Copos,La Anónima,169,7
1051,Almendras Peladas Medianas El Peoncito X 250 G.,2,2023-06-18,Frutas-Y-Verduras,$5990,Almendras,La Anónima,170,110
1503,Máquina De Afeitar Descremado  Spa Skin Breeze Venus X 1 Un.,1,2023-03-07,Perfumeria,$629,Máquina,La Anónima,171,111
1931,Canopla Con Solapa Y Cierre Keyroad,1,2023-03-28,Hogar,$100,Canopla,La Anónima,172,112
1449,Pañal Adultos Protect Mediano Plenitud X 16 Un.,2,2023-09-06,Perfumeria,$3800,Pañal,La Anónima,173,113
1066,Crema Corporal Rosa Plus Hinds X 250 Cc.,2,2023-12-12,Perfumeria,$7400,Crema,La Anónima,174,11
1725,Jabón Líquido Ala Para Diluir 500 Ml.,3,2023-11-23,Limpieza,$5415,Jabón,Carrefour,175,1
1302,Superpancho X 6Un.La Anónima 480 G.,2,2023-05-06,Frescos,$1650,Superpancho,La Anónima,176,114
1661,Cerveza Grolsch Lata X 473 Cc.,3,2023-06-23,Bebidas,$3599,Cerveza,La Anónima,4,4
1692,Desodorante Roll On Inspiracion Hinds X 60 G.,1,2023-08-12,Perfumeria,$1309,Desodorante,Carrefour,177,82
1951,Jabon Tocador Esencia Piel Sensible Plusbelle X 120 G.,1,2023-05-04,Perfumeria,$5915,Jabon,La Anónima,178,115
1203,Coloración Centeno T 61 Nutrisse X 1 Un.,1,2023-05-03,Perfumeria,$3850,Coloración,Jumbo,179,6
1317,Kit Tintura Nutrisse Clasico Tono 10 Ebano Negro,1,2023-05-25,Perfumeria,$2250,Kit,La Anónima,180,116
1645,Máscara Tratamiento Ritual Reparación Dove X 300 G.,2,2023-04-20,Perfumeria,$7050,Máscara,Carrefour,181,117
1277,Vino Tinto Malbec Sade X 750 Cc.,2,2023-02-28,Bebidas,$6925,Vino,La Anónima,182,16
1013,Yerba Mate En Saquitos La Tranquera X 50 Un.,3,2023-05-08,Almacen,$4500,Yerba,La Anónima,183,118
1160,Mascarilla Reparación Total Extreme Elvive X 300 Cc.,2,2023-01-08,Perfumeria,$2320,Mascarilla,Jumbo,184,119
1257,Crema Facial Hidratante Dermaglós Protectora De Día X 50 G.,3,2023-06-18,Perfumeria,$30,Crema,La Anónima,185,11
1058,Vainillas Valente X 148 G.,1,2023-02-01,Almacen,$10850,Vainillas,La Anónima,186,120
1315,Secador Doble Goma Best 30 Cm X 1 Un.,3,2023-03-21,Limpieza,$2550,Secador,La Anónima,187,121
1712,Yogur Firme Natural Endulzado Fortificado Yogurísimo X 190 G.,2,2023-09-03,Frescos,$1983,Yogur,Carrefour,188,45
1168,Alimento En Polvo A Base De Cacao Toddy X 180 G.,2,2023-09-28,Almacen,$1800,Alimento,Carrefour,189,122
1643,Tostaditas De Arroz Sin Sal Con Vitamina Molinos Ala X 100 G.,3,2023-04-26,Almacen,$6689,Tostaditas,Jumbo,190,9
1753,Zanahoria (Kg),2,2023-08-22,Frutas-Y-Verduras,$1490,Zanahoria,Jumbo,191,33
1019,Yerba Mate Con Palo Liebig Original X 500 G.,2,2023-01-01,Almacen,$2450,Yerba,La Anónima,192,118
1171,Pomada Líquida Con Aplicador Cobra Negro X 60 Cc.,2,2023-12-06,Limpieza,$2200,Pomada,Jumbo,127,93
1372,Limpia Interiores Revigal X 650 Cc.,3,2023-02-15,Hogar,$2999,Limpia,Jumbo,193,123
1593,Azúcar Rubio Mascabo Ledesma X 800 G.,3,2023-09-17,Almacen,$1845,Azúcar,La Anónima,194,89
1774,Medallones De Carne Vacuna Best X 2 Un. 110 Gr.,2,2023-08-04,Congelados,$19500,Medallones,Carrefour,195,124
1702,Té En Saquitos Taraguí Verde X 40 Un.,3,2023-07-21,Almacen,$1050,Té,Jumbo,196,68
1663,Jabón Liquido Baja Espuma Bicarbonato Limon Granby X 800 Cc.,1,2023-02-26,Limpieza,$2295,Jabón,Carrefour,197,1
1031,Papas Fritas Sin Sal Krach-Itos X 55 G.,3,2023-04-10,Almacen,$2850,Papas,Jumbo,198,61
1705,Leche En Polvo Entera La Paulina X 800 G.,3,2023-09-13,Almacen,$670,Leche,Carrefour,199,52
1881,Etiquetas Jardin Play Mooving,3,2023-07-25,Hogar,$1635,Etiquetas,Jumbo,200,125
1111,Galletitas Mini Scones Pamela X 180 G.,2,2023-03-17,Almacen,$900,Galletitas,Carrefour,201,21
1875,Toalla Higiénica Normal Con Alas Xtra Suave Always X 8 Un.,1,2023-04-15,Perfumeria,$3200,Toalla,Jumbo,202,126
1576,Cerveza Ipa Estelar X 6 Un. Patagonia X 473 Cc.,2,2023-03-17,Bebidas,$900,Cerveza,Jumbo,203,4
1166,Sopa De Vegetales Con Fideos Caracoles Knorr X 107 G.,2,2023-06-14,Almacen,$401,Sopa,Carrefour,204,56
1297,"Detergente Líquido Ultra Limón Magistral X 1,4 Lt.",1,2023-09-24,Limpieza,$2500,Detergente,Jumbo,205,35
1234,Leche Lv Entera Clasica 3% La Serenisima X 1 Lt.,2,2023-01-05,Frescos,$20,Leche,Carrefour,206,52
1443,"Amargo Terma Cero Con Limón Pet X 1,75 Lt.",2,2023-05-02,Bebidas,$1300,Amargo,Carrefour,207,127
1963,Gelatina En Polvo Light Cereza Royal X 25 G.,2,2023-07-20,Almacen,$1100,Gelatina,La Anónima,208,128
1171,Fideos Multicereal C/Chía Fusilli Wakas X 250 G.,3,2023-11-07,Almacen,$1375,Fideos,La Anónima,209,53
1757,Desodorante Para Inodoro Repuesto Glade Red Lavanda X 25 G.,3,2023-06-06,Limpieza,$880,Desodorante,Jumbo,210,82
