Supermercado,Producto,Precio
La_anonima,Repollo,"$ 2.290,00"
La_anonima,Ajo,"$3.350,00"
La_anonima,Sandía,"$ 2.990,00"
La_anonima,Albahaca,"$860,00"
La_anonima,Apio,"$ 759,00"
La_anonima,Berenjena,"$1.800,00"
La_anonima,Ajo,"$ 1.590,00"
La_anonima,Zapallo,"$2.100,00"
La_anonima,Soja,"$ 1.890,00"
La_anonima,Higos,"$10.250,00"
La_anonima,Hinojo,"$ 7.990,00"
La_anonima,Zapallo,"$3.350,00"
La_anonima,Escarola,"$ 2.990,00"
La_anonima,Papa,"$1.850,00"
La_anonima,Banana,"$ 1.490,00"
La_anonima,Cebolla,"$2.900,00"
La_anonima,Zanahoria,"$ 2.590,00"
La_anonima,Mandarina,$2390.00
La_anonima,Manzana,"$ 1.690,00"
La_anonima,Zapallito,"$10.900,00"
La_anonima,Pera,"$ 8.690,00"
La_anonima,Limón,"$860,00"
La_anonima,Naranja,"$ 689,15"
La_anonima,Zapallo,"$4.600,00"
La_anonima,Tomate,"$ 3.990,00"
La_anonima,Batata,"$7.850,00"
La_anonima,Zanahoria,"$ 3.790,00"
La_anonima,Manzana,"$3.400,00"
La_anonima,Berenjena,"$ 2.990,00"
La_anonima,Batata,"$990,00"
La_anonima,Rúcula,"$ 792,82"
La_anonima,Papa,"$2.450,00"
La_anonima,Choclo,"$ 2.290,00"
La_anonima,Lechuga,"$ 1.399,00"
La_anonima,Acelga,"$ 1.119,20"
La_anonima,Papa,"$ 1.990,00"
La_anonima,Zapallo,"$ 1.624,00"
La_anonima,Morrón,"$ 1.299,20"
La_anonima,Uvas,"$ 1.190,00"
La_anonima,Manzana,"$ 1.890,00"
La_anonima,Lechuga,$1990.00
La_anonima,Lechuga,"$ 1.590,00"
La_anonima,Champignon,"$ 2.290,00"
La_anonima,Cebolla,"$ 1.624,00"
La_anonima,Espinaca,"$ 1.299,20"
La_anonima,Kiwi,"$ 990,00"
La_anonima,Champignon,$2990.00
La_anonima,Morrón,"$ 2.690,00"
La_anonima,Lechuga,"$ 699,00"
La_anonima,Pepino,"$ 559,20"
La_anonima,Girasol,"$ 4.890,00"
La_anonima,Girasol,"$ 1.290,00"
La_anonima,Cebolla,"$ 999,00"
La_anonima,Zapallito,"$ 2.990,00"
La_anonima,Perejil,"$ 1.690,00"
La_anonima,Melón,"$ 1.590,00"
La_anonima,Cebolla,"$ 1.590,00"
La_anonima,Manzana,"$ 1.490,00"
La_anonima,Brócoli,"$ 3.590,00"
La_anonima,Penca,"$ 1.690,00"
La_anonima,Maní,$2749.00
La_anonima,Ensalada,"$ 2.499,00"
La_anonima,Coliflor,"$ 1.190,00"
La_anonima,Rabanito,"$ 569,00"
La_anonima,Zanahoria,"$ 6.590,00"
La_anonima,Perejil,"$ 3.990,00"
La_anonima,Semilla,"$ 2.990,00"
La_anonima,Vegetales,"$ 3.990,00"
La_anonima,Vegetales,"$ 2.990,00"
La_anonima,Semillas,"$ 2.490,00"
La_anonima,Semilla,"$ 1.990,00"
La_anonima,Jengibre,"$ 2.890,00"
La_anonima,Zanahoria,$7999.00
La_anonima,Semilla,"$ 6.249,00"
La_anonima,Cebolla,"$ 4.999,20"
La_anonima,Pasas,"$ 2.490,00"
La_anonima,Cilantro,"$ 4.990,00"
La_anonima,Ciruela,"$ 3.990,00"
La_anonima,Tomate,"$ 2.590,00"
La_anonima,Nueces,"$ 799,00"
La_anonima,Tomates,"$ 799,00"
La_anonima,Tomate,"$ 2.290,00"
La_anonima,Morrón,"$ 2.590,00"
La_anonima,Mango,"$ 1.390,00"
La_anonima,Lechuga,"$ 1.990,00"
La_anonima,Pasas,"$ 1.099,00"
La_anonima,Maní,"$ 1.990,00"
La_anonima,Quinoa,"$ 4.690,00"
La_anonima,Lechuga,"$ 899,00"
La_anonima,Maní,"$ 4.990,00"
La_anonima,Mix,"$ 2.290,00"
La_anonima,Brócoli,"$ 3.990,00"
La_anonima,Almendras,"$ 1.490,00"
La_anonima,Castañas,"$ 2.490,00"
La_anonima,Hierbas,"$ 1.390,00"
La_anonima,Nueces,"$ 2.400,00"
La_anonima,Mix,"$ 3.490,00"
La_anonima,Mix,"$ 3.490,00"
La_anonima,Ensalada,"$ 920,00"
La_anonima,Nuez,"$ 1.800,00"
La_anonima,Blanco,"$ 6.990,00"
La_anonima,Espinaca,"$ 2.490,00"
La_anonima,Puerro,"$ 1.100,00"
La_anonima,Lechuga,"$ 2.290,00"
La_anonima,Mix,"$ 2.100,00"
La_anonima,Mix,"$ 1.590,00"
La_anonima,Piña,"$ 2.890,00"
La_anonima,Espinaca,"$ 4.990,00"
La_anonima,Mix,"$ 3.400,00"
La_anonima,Nueces,"$ 3.000,00"
La_anonima,Pistacho,"$ 4.890,00"
La_anonima,Cramberries,"$ 6.590,00"
La_anonima,Semillas,"$ 7.999,00"
La_anonima,Cebolla,"$ 3.990,00"
La_anonima,Choclo,"$ 960,00"
La_anonima,Mix,"$ 3.990,00"
La_anonima,Pasas,"$ 3.050,00"
La_anonima,Mix,"$ 2.990,00"
La_anonima,Almendras,"$ 2.850,00"
La_anonima,Cebolla,"$ 2.000,00"
La_anonima,Zanahoria,"$ 2.990,00"
La_anonima,Espinaca,"$ 3.550,00"
La_anonima,Kale,"$ 6.200,00"
La_anonima,Almendras,"$ 1.590,00"
La_anonima,Mix,"$ 6.650,00"
La_anonima,Ensalada,"$ 5.000,00"
La_anonima,Ensalada,"$ 4.100,00"
La_anonima,Plátano,"$ 3.290,00"
La_anonima,Coco,"$ 4.390,00"
La_anonima,Maní,"$ 3.750,00"
La_anonima,Mix,"$ 635,00"
La_anonima,Radiccio,"$ 2.290,00"
La_anonima,Chips,"$ 1.690,00"
La_anonima,Pasas,"$ 142,00"
La_anonima,Chips,"$ 1.690,00"
La_anonima,Mix,"$ 880,00"
La_anonima,Mix,"$ 920,00"
La_anonima,Mix,"$ 880,00"
La_anonima,Mix,"$ 87,00"
La_anonima,Pistachos,"$ 5.000,00"
La_anonima,Avellanas,"$ 315,00"
La_anonima,Semillas,"$ 1.450,00"
La_anonima,Semillas,"$ 1.650,00"
La_anonima,Lechuga,"$ 1.690,00"
La_anonima,Mix,"$ 5.350,00"
La_anonima,Ensalada,"$ 3.990,00"
La_anonima,Semillas,"$ 999,00"
La_anonima,Almendras,"$ 2.100,00"
La_anonima,Mix,"$ 1.600,00"
La_anonima,Ciruelas,"$ 344,00"
La_anonima,Mix,"$ 620,00"
La_anonima,Pasas,"$ 2.300,00"
La_anonima,Espinaca,"$ 1.190,00"
La_anonima,Chaucha,"$ 3.490,00"
La_anonima,Zanahoria,"$ 1.190,00"
La_anonima,Garrapiñada,"$ 4.150,00"
La_anonima,Mix,"$ 2.550,00"
La_anonima,Acelga,"$ 1.190,00"
La_anonima,Ciruelas,"$ 2.500,00"
La_anonima,Ciruelas,"$ 2.900,00"
La_anonima,Dátiles,"$ 4.800,00"
La_anonima,Higos,"$ 549,00"
La_anonima,Higos,"$ 2.900,00"
La_anonima,Mix,"$ 3.450,00"
La_anonima,Pasas,"$ 336,00"
La_anonima,Pasas,"$ 2.600,00"
La_anonima,Ciruela,"$ 5.500,00"
La_anonima,Pasas,"$ 2.900,00"
La_anonima,Peras,"$ 2.700,00"
La_anonima,Tomates,"$ 4.750,00"
La_anonima,Cereza,"$ 4.390,00"
La_anonima,Cebolla,"$ 999,00"
La_anonima,Frutas,"$ 670,00"
La_anonima,Hongos,"$ 2.900,00"
La_anonima,Nuez,"$ 9.590,00"
La_anonima,Maíz,"$ 1.050,00"
La_anonima,Durazno,"$ 2.890,00"
La_anonima,Cebolla,"$ 999,00"
La_anonima,Pelón,"$ 2.890,00"
La_anonima,Brotes,"$ 0,00"
La_anonima,Papines,"$ 4.290,00"
La_anonima,Girgolas,"$ 2.490,00"
La_anonima,Almendras,"$ 328,00"
La_anonima,Mix,"$ 1.390,00"
La_anonima,Repollitos,"$ 699,00"
La_anonima,Nuez,"$ 7.990,00"
La_anonima,Maní,"$ 4.100,00"
La_anonima,Pipas,"$ 2.350,00"
La_anonima,Pipas,"$ 2.350,00"
La_anonima,Repollo,"$ 1.990,00"
La_anonima,Remolacha,"$ 699,00"
La_anonima,Esparrago,"$ 1.490,00"
La_anonima,Naranja,$3490.00
La_anonima,Mix,"$ 2.990,00"
La_anonima,Tomates,"$ 2.150,00"
La_anonima,Semillas,"$ 3.200,00"
La_anonima,Mix,"$ 1.700,00"
La_anonima,Bocaditos,"$ 252,00"
La_anonima,Mix,"$ 434,00"
La_anonima,Mix,"$ 142,00"
La_anonima,Maní,"$ 147,00"
La_anonima,Coliflor,"$ 3.990,00"
La_anonima,Almendras,"$ 2.990,00"
La_anonima,Almendras,"$ 5.950,00"
La_anonima,Hongos,"$ 4.100,00"
La_anonima,Nueces,"$ 176,00"
La_anonima,Tomates,"$ 4.000,00"
La_anonima,Banana,"$ 145,00"
La_anonima,Ciruelas,"$ 115,00"
La_anonima,Cramberries,"$ 362,00"
La_anonima,Ristra,"$ 188,00"
La_anonima,Mix,"$ 309,00"
La_anonima,Lechuga,"$ 76,00"
La_anonima,Higos,"$ 1.690,00"
La_anonima,Quinoa,"$ 401,00"
La_anonima,Semilla,"$ 137,00"
La_anonima,Semilla,"$ 94,00"
La_anonima,Semillas,"$ 68,00"
La_anonima,Semilla,"$ 47,50"
La_anonima,Mix,"$ 79,00"
La_anonima,Nueces,"$ 189,00"
La_anonima,Pistacho,"$ 360,00"
La_anonima,Almendras,"$ 529,00"
La_anonima,Ciruela,"$ 453,00"
La_anonima,Mix,"$ 149,00"
La_anonima,Mix,"$ 615,00"
La_anonima,Mix,"$ 232,00"
La_anonima,Mix,"$ 340,00"
La_anonima,Mix,"$ 279,00"
La_anonima,Mix,"$ 371,00"
La_anonima,Pasas,"$ 276,00"
La_anonima,Pasas,"$ 112,00"
La_anonima,Almendras,"$ 212,00"
La_anonima,Almendras,"$ 905,00"
La_anonima,Mix,"$ 1.109,00"
La_anonima,Nuez,"$ 1.259,00"
La_anonima,Ciruelas,"$ 1.189,00"
La_anonima,Pasas,"$ 0,00"
La_anonima,Semillas,"$ 0,00"
La_anonima,Ají,"$ 109,00"
La_anonima,Ají,"$ 6.990,00"
La_anonima,Pimiento,"$ 1.999,00"
La_anonima,Ciruelas,"$ 6.990,00"
La_anonima,Lima,"$ 279,00"
La_anonima,Mix,"$ 2.990,00"
La_anonima,Pasas,"$ 202,00"
La_anonima,Champignon,"$ 2.050,00"
La_anonima,Mix,"$ 12.450,00"
La_anonima,Lechuga,"$ 216,00"
La_anonima,Mix,"$ 3.990,00"
La_anonima,Lechuga,"$ 200,00"
La_anonima,Semillas,"$ 3.990,00"
La_anonima,Sésamo,"$ 1.150,00"
La_anonima,Tomate,"$ 132,00"
La_anonima,Alcayota,$1600.00
La_anonima,Manzana,"$ 1.290,00"
La_anonima,Plantines,"$ 899,00"
La_anonima,Ají,"$ 2.990,00"
La_anonima,Hongos,"$ 1.890,00"
La_anonima,Arándanos,"$ 4.590,00"
La_anonima,Semillas,"$ 2.750,00"
La_anonima,Maíz,"$ 1.790,00"
La_anonima,Berro,"$ 46,90"
La_anonima,Achicoria,"$ 2.700,00"
La_anonima,Maní,"$ 2.290,00"
La_anonima,Almendras,$229.00
La_anonima,Alcaucil,"$ 169,00"
La_anonima,Avellanas,"$ 97,00"
La_anonima,Mix,"$ 296,00"
La_anonima,Nueces,"$ 999,00"
La_anonima,Almendras,"$ 55,00"
La_anonima,Radicheta,"$ 2.800,00"
La_anonima,Rúcula,"$ 51,00"
La_anonima,Banana,"$ 1.990,00"
La_anonima,Achicoria,"$ 2.690,00"
La_anonima,Mix,"$ 252,00"
La_anonima,Radicheta,"$ 2.850,00"
La_anonima,Pasas,"$ 1.850,00"
La_anonima,Mix,"$ 7.500,00"
La_anonima,Ciboulette,"$ 1.590,00"
La_anonima,Plantines,"$ 1.890,00"
La_anonima,Pimienta,$1.690
Jumbo,Oregano,$1.290
Jumbo,Ajo,$1.690
Jumbo,Pimenton,$1.390
Jumbo,Adobo,$1.749
Jumbo,Condimento,$1.790
Jumbo,Ají,$1.990
Jumbo,Aji,$1.990
Jumbo,Condimento,$NaN
Jumbo,Sal,$NaN
Jumbo,Chimichurri,$NaN
Jumbo,Huevos,$5.650
Jumbo,Huevos,$7.150
Jumbo,Huevos,$6.750
Jumbo,Huevos,$1.950
Jumbo,Huevos,$1.650
Jumbo,Huevos,$3.200
Jumbo,Huevo,$2.450
Jumbo,Huevos,$4.750
Jumbo,Lentejas,$1.999
Jumbo,Arroz,$849
Jumbo,Harina,$1.499
Jumbo,Lentejas,$2.499
Jumbo,Garbanzos,$2.499
Jumbo,Harina,$1.599
Jumbo,Mezcla,$2.499
Jumbo,Harina,$5.990
Jumbo,Poroto,$4.999
Jumbo,Mix,$449
Jumbo,Lentejas,$3.299
Jumbo,Zanahoria,$2.699
Jumbo,Ajo,$999
Jumbo,Pera,$2.499
Jumbo,Palta,"$928,57"
Jumbo,Mix,$2.499
Jumbo,Cebolla,$3.690
Jumbo,Banana,$1.899
Jumbo,Palta,$699
Jumbo,Almendras,$11.999
Jumbo,Nueces,$14.999
Jumbo,Naranja,$2.699
Jumbo,Manzana,$1.699
Jumbo,Naranja,$999
Jumbo,Limón,$699
Jumbo,Castañas,$NaN
Jumbo,Piña,$NaN
Jumbo,Melón,$NaN
Jumbo,Castañas,$NaN
Jumbo,Lima,$NaN
Jumbo,Frambuesas,$NaN
Jumbo,Pera,$NaN
Jumbo,Granola,$NaN
Jumbo,Manzana,$3.999
Jumbo,Frutillas,$4.250
Jumbo,Datiles,$17.999
Jumbo,Plátano,$2.699
Jumbo,Granola,$3.490
Jumbo,Mix,$1.290
Jumbo,Castañas,$1.690
Jumbo,Granola,$3.490
Jumbo,Granola,"$9.749,25"
Jumbo,Higos,"$5.249,25"
Jumbo,Damascos,"$5.999,25"
Jumbo,Granberries,"$2.249,25"
Jumbo,Kaqui,$3.999
Jumbo,Pizzitos,"$449,25"
Jumbo,Papas,"$974,25"
Jumbo,Peras,"$1.117,5"
Jumbo,Mix,$1.690
Jumbo,Mix,$2.590
Jumbo,Maní,$2.299
Jumbo,Mix,$4.490
Jumbo,Cookies,$1.990
Jumbo,Mix,"$5.616,39"
Jumbo,Mix,$1.490
Jumbo,School,$599
Jumbo,Mix,$NaN
Jumbo,Mix,$NaN
